,artist,text
4755,Action Bronson,A lot of shit done motherfucking changed now
4756,Action Bronson,Motherfuckers done came up
4757,Action Bronson,Whole lot of different motherfucking moves are being made
4758,Action Bronson,You know what time it motherfucking is
4759,Action Bronson,So my lifestyle done changed a little bit
4760,Action Bronson,The motherfucking crib is renovated man
4761,Action Bronson,I got the new fucking marble floor man
4762,Action Bronson,We just flew that shit in from Connecticut
4763,Action Bronson,Motherfuckers is out here spinning stupid shit
4764,Action Bronson,I m out here wiling like I never changed man
4765,Action Bronson,This the same motherfucker you know me man
4766,Action Bronson,    doing stick ups with the screw driver
4767,Action Bronson,The last car on the fucking A train man
4768,Action Bronson,Sometimes a little low but I get them back up man
4769,Action Bronson,Fill them up like the fucking gas tank
4770,Action Bronson,Shout outs to my fucking brother man Action Bronson man
4771,Action Bronson,We motherfucking out here man
4772,Action Bronson,But a motherfucking few more things that s what to say
4773,Action Bronson,I m out here smoking good man
4774,Action Bronson,Fucking pocket fucking stupid fucking blunt pack with that up town piff
4775,Action Bronson,Shouts to all my motherfucking Dominicans out there in the Heights
4776,Action Bronson,Nah I don t even want a motherfucking ounce B
4777,Action Bronson,Give me motherfucking   dimes
4778,Action Bronson,Yeah tato Papi that s how we doing it big fucking style man
4779,Action Bronson,And I want that Chimi sauce dripping all over my fucking arm
4780,Action Bronson,Wipe it with the fucking hundred dollar bill
4781,Action Bronson,Shouts to motherfucking Albania
4782,Action Bronson,Shouts to motherfucking Flushing
4783,Action Bronson,Shouts to the motherfucking Bronx man
4784,Action Bronson,All fucking day I m out here wiling man
4785,Action Bronson,Weve been the best since I stepped in
4786,Action Bronson,Bring a hooker to the muthafuckin Jets Inn
4787,Action Bronson,In the sack break her back like a Redskin
4788,Action Bronson,Need the dough like Im trying to get the bread thin
4789,Action Bronson,Tree to make the head spin
4790,Action Bronson,Every season play the corner like Im Revis
4791,Action Bronson,Light Caesar heavy bearded like Im Jesus
4792,Action Bronson,New York City Queens borough be the backdrop
4793,Action Bronson,I bring it back to all the benches need a blacktop
4794,Action Bronson,Big things see me moving like a Sasquatch
4795,Action Bronson,Money Im in pursuit cuchillo inside the boot
4796,Action Bronson,Bitches are on display give brain inside the coupe
4797,Action Bronson,Shift gears thats with the left
4798,Action Bronson,Which means Im on the right get paid
4799,Action Bronson,By any means you hold it say goodnight kid
4800,Action Bronson,Two fingers hold the potion when Im smoking
4801,Action Bronson,Slow motion snatch a snapper out the ocean
4802,Action Bronson,In my lungs go the drugs like the red chief
4803,Action Bronson,Red leaf lettuce blood money on the bench seat
4804,Action Bronson,  courses laid up on the long table
4805,Action Bronson,Aged wine got me spinning like a dreidel
4806,Action Bronson,For fly women use a condom cause its fatal
4807,Action Bronson,Hazel eyed bitched always blazing up the basil
4808,Action Bronson,The red razor cut the features in your facial
4809,Action Bronson,Creep in Corona bumping Fernando Villalona
4810,Action Bronson,Puffing cheeba in the street by the chimi corner
4811,Action Bronson,Tu ne tappa me muthafuckas are sloppy
4812,Action Bronson,Captain of the rap you talking to papi
4813,Action Bronson,Up in Niagara Falls make your wifey suck a
4814,Action Bronson,Bag of balls its sick just like a Magic cough
4815,Action Bronson,Same person on camera or when the muthafuckin camera off
4816,Action Bronson,Hash straight from the desert can knock
